id,label
000101,C
000201,C
000202,A
000301,A
000302,C
000401,B
000501,C
000502,C
000503,B
000601,A
000701,B
000801,D
000901,A
001001,A
001101,B
001102,C
001103,D
001201,A
001301,A
001302,D
001401,C
001402,C
001501,B
001502,C
001601,B
001701,A
001702,A
001801,B
001802,C
001901,B
001902,C
002001,A
002002,D
002101,C
002102,B
002201,B
002202,C
002301,A
002302,D
002401,C
002402,A
002501,B
002502,A
002601,A
002602,C
002701,D
002702,D
002801,B
002802,C
002901,A
002902,C
003001,C
003002,B
003101,A
003102,A
003201,D
003202,A
003301,A
003302,A
003401,A
003402,D
003501,A
003502,C
003601,A
003602,D
003701,C
003801,A
003802,D
003901,B
003902,B
004001,A
004002,B
004101,B
004102,A
004201,A
004202,A
004301,A
004302,B
004401,B
004402,A
004501,A
004502,A
004601,B
004602,A
004701,A
004702,A
004703,B
004801,B
004802,C
004901,A
004902,A
005001,C
005002,B
005101,C
005102,A
005201,B
005202,B
005301,C
005302,B
005401,D
005402,C
005501,C
005502,A
005601,A
005602,B
005701,B
005702,B
005801,C
005802,A
005901,D
005902,A
006001,C
006002,C
006101,C
006102,A
006201,B
006202,A
006301,D
006302,B
006401,B
006402,B
006501,A
006502,C
006601,D
006602,A
006701,C
006702,C
006801,B
006802,D
006901,A
006902,A
007001,D
007002,A
007101,A
007102,B
007103,A
007201,C
007202,C
007301,C
007302,A
007401,C
007402,D
007501,B
007502,D
007601,D
007602,D
007701,B
007702,C
007801,C
007802,B
007901,D
007902,B
008001,B
008002,C
008101,C
008102,C
008201,D
008202,C
008301,D
008302,A
008401,B
008402,A
008501,C
008502,D
008601,B
008602,C
008701,B
008702,C
008801,D
008802,B
008901,C
008902,D
009001,B
009002,B
009101,C
009102,C
009201,D
009202,C
009301,A
009302,D
009401,A
009402,A
009501,C
009502,C
009601,B
009602,C
009701,C
009702,D
009801,B
009802,B
009901,C
009902,C
010001,C
010002,D
010101,A
010102,C
010201,D
010202,A
010301,B
010302,B
010303,A
010401,B
010402,C
010501,D
010502,A
010503,A
010504,A
010601,C
010602,A
010701,C
010702,B
010801,A
010802,D
010901,D
010902,C
011001,B
011002,B
011003,A
011004,A
011101,C
011102,B
011103,C
011104,D
011201,C
011202,D
011301,C
011302,A
011401,A
011402,D
011501,D
011502,D
011503,D
011504,D
011601,C
